anomalous - adj. 不規則的, 反常的
propriety - n. 禮節、適當
impugn - v. 指責、對..表示懷疑
compunction - n. 懊悔、良心不安
punctilious - adj. 精密細心的、一絲不苟的
eradicate - v. 根除、撲滅
rapacious - adj. 強奪的、貪婪的
rectitude - n. 正直、公正
resurrect - v. 使復活、使復甦
surreptitious - adj. 秘密的、偷偷摸摸地、鬼鬼祟祟的
prerogative - n. 特權
sanctimonious - adj. 假裝虔誠的、假裝聖潔的
sanction - n. 認可、批准、國際制裁
insatiable - adj. 不知足的,貪求無厭的
inscrutable - adj. 高深莫測的、神秘的
bisect - v. 把...一分為二、二等分某物
dissemble - v. 掩飾、假裝
insidious - adj. 隱藏詭計的
assimilate - v. 同化、吸收、消化
auspicious - adj. 吉兆的、吉利的
respect - n. 敬重、尊敬、關於、涉及
retrospective - adj. 回顧的，追溯的
desperate - adj. 絕望的；不顧一切的；鋌而走險的
circumstantial - adj. 與情況有關的、依情況而定的；詳盡的
stalwart - adj. 堅決的；健壯的
stilted - adj. 呆板的、生硬的、不自然的
instigate - v. 發起、煽動
construe - v. 解釋、理解為
strip - v. 剝去、剝光
constrain - v. 強迫、迫使
countenance - n. 面部表情、面容、贊成、支持
impertinent - adj. 粗魯無禮的、不切題的、不中肯的
intemperance - n. 放縱、不節制
contemplate - v. 沈思、凝視
attenuate - v. 變薄、變弱
tenuous - adj. 稀薄的、空洞的
interminable - adj. 無止盡的
deterrent - adj. 威攝的、遏制的
detract - v. 貶低、誹謗
retract - v. 縮回、收回；撤回；撤退
intrepid - adj. 無畏的、剛毅的
trenchant - adj. (言詞)犀利的、鋒利的
obtrude - v. 突出、強加
tumultuous - adj. 騷亂的、亂哄哄的、喧嘩的
conundrum - n. 難題、複雜問題
contravene - v. 違背(法規、習俗)
vengeance - n. 報仇，報復
convergent - adj. 匯聚的
conversant - adj. 熟悉的、精通的
overt - adj. 明顯的、公然的
devious - adj. 狡猾的、不正直的、彎曲的
evince - v. 表明、顯示出
vigilant - adj. 機警的、警惕的
invigorate - v. 賦予精神、鼓舞
gullible - adj. 易受騙的
vilify - vt. 誹謗, 辱罵
provisional - adj. 臨時的、暫時性的
revitalize - v. 使恢復生氣,使復活,使復興
devoid - adj. 缺乏的、沒有的
disavow - n. 否認、推翻
absurd - adj. 不合理的、荒謬的
acquisitive - adj. 貪得無厭的；渴望的
adamant - adj. 堅決的、固執的
ancillary - adj. 補助的、輔助的
assuage - v. 緩和、減輕
augur - v. 預言、預測
badger - v. (不停的)騷擾
baffle - v. 使困惑、阻撓
banter - v. 揶揄、嘲弄
bereft - adj. 失去...的
blatant - adj. 喧鬧的、顯眼的、炫耀的
blight - v. 毀掉、破壞、使枯萎 n. 枯萎
bogus - adj. 假冒的、偽造的
braggart - n. 吹牛者 adj. 吹牛的
buttress - n. 支持、加強
cagey - adj. 謹慎的、機敏的
calumny - n. 惡意毀謗、中傷
categorical - adj. 絕對的、至上的
comity - n. 禮讓
connive - vi. 默許；縱容；串通的
contrive - v. 設計、圖謀
detest - v. 厭惡、痛恨
enfetter - v. 束縛；上腳鐐
entice - v. 引誘
exiguous - adj. 非常少的
exude - v. 散發、流露
galvanize - v. 刺激、激勵、促使、鍍鋅
gauge - n. 測量、標準寬度、標準厚度
gripe - v. 抱怨
harangue - n. 慷慨激昂地演講、滔滔不絕地教訓
imperil - v. 使陷於危險、危及
inchoate - adj. 剛開始的、起初的、未完的
incisive - adj. 深刻的；尖銳的；清楚的
industrious - adj. 勤奮的、勤勞的
inquisitive - adj. 好奇的、愛鑽研的
lavish - adj. 大方的、慷慨給予的
lax - adj. 鬆散的、不嚴格的
lay out - v. 花錢
lethal - adj. 致命的、危險的
list - v. 傾斜
lopsided - adj. 傾向一邊的、不平衡的；一面倒的
malleable - adj. 可塑的、展延的
nepotism - n. 用人唯親、裙帶關係
oblique - adj. 傾斜的、間接的、不坦率的
overarching - adj. 包含所有的、支配一切的
overbearing - adj. 專橫的、好指使人的、傲慢的；至關重要的
palliative - adj. 緩和的、治標不治本的
philistine - n. 庸俗的人；不懂藝術的人、沒有教養的人
phlegmatic - adj. 冷靜的、沉著的
presage - v. 預言
propensity - n. 傾向、習性
querulous - adj. 愛發牢騷的、愛抱怨的
rebuke - v. 斥責、指責
rebut - v. 駁斥、反駁
rehash - v. 老調重彈；換湯不換藥
schematic - adj. 概要的；圖解的
serendipitous - adj. 意外發現的
somatic - adj. 身體的、軀體的
sordid - adj. 骯髒的、污穢的
sterling - adj. 優秀的、出色的、高尚的
stratification - n. 分層、階層
temerity - n. 魯莽、冒失、不自量力
uncanny - adj. 奇異的、怪異的、難懂的
unseemly - adj. 不得體的
wary - adj. 謹慎的
analgesic - n. 鎮痛劑 adj. 止痛的
pusillanimous - adj. 膽小的
adept - adj. 熟練的、內行的
artifice - n. 奸計、詭計
lambaste - v. 痛打、痛罵
bellicose - adj. 好戰的、好鬥的
belligerent - adj. 發動戰爭的；好鬥的，好挑釁的
rebellious - adj. 反抗的、難控制的
forbidding - adj. 可怕的(外貌)
nonchalant - adj. 無憂無慮的、漠不關心的
capitulate - v. (有條件)投降
encapsulate - v. 裝入膠囊、概括、摘要
caustic - adj. 腐蝕性的，刻薄的
chivalrous - adj. 騎士精神的；對女人彬彬有禮的
chastise - v. 懲罰、譴責
succinct - adj. 簡明的、簡潔的
precocious - adj. 早熟的、早成的
accolade - n. 推崇、讚揚
abscond - v. 潛逃，逃亡
concord - n. 一致、協調、(國際的)和睦
cordial - adj. 熱忱的、衷心的
copious - adj. 豐富的、多產的
accretion - n. 增加
discredit - v. 使丟臉、敗壞..的名聲；使失去信譽
exculpate - v. 開脫、申明無罪
concur - v. 意見相同、一致
decorous - adj. 合宜的、高雅的
dilemma - n. 困境、兩難
deduct - v. 減除，扣除
seductive - adj. 誘惑的、引人注意的、有魅力的
equanimity - n. 鎮定、沉著
defamatory - adj. 破壞名譽的、誹謗的
facility - n. 才能、資質、容易做好事情的能力
malfeasance - n. 不法行為、瀆職
counterfeit - n./adj. 偽造，仿造
surfeit - n. 過量、過度
felicitous - adj. (話語)得體的、適當的
fictitious - adj. 假的、虛構的
ramification - n. 後果、影響
ingratiate - v. 使得到...歡心、迎合
deflect - v. 使偏斜、使轉向、避開
fugitive - n. 短暫的、逃犯
egregious - adj. (缺點)過分的、驚人的
gregarious - adj. 群居的、愛社交的
adherent - n. 擁護者，信徒
heretical - adj. 異教的、異端的
hortatory - adj. 勸告的、忠告的
imperious - adj. 傲慢的、專橫的
dilute - v. 弄稀、弄淡
levity - n. 輕率、輕浮
circumlocution - n. 迂迴累贅的陳述
circumlocutory - adj. 委婉曲折的
lurid - adj. 可怕的、恐怖的、火紅的
malign - adj. 惡意的 v. 誹謗
emanate - v. 散發、發出
demanding - adj. 嚴格的、要求高的
mediate - n. 調停解決
demeanor - n. 舉動、行為、風度
menace - v./n. 威脅 、恐嚇
amend - v. 修訂、修正
emend - v. 校訂、修改
mentor - n. 導師
eminent - adj. 出眾的、卓越的、著名的
demise - n. 死亡、財產轉讓
amnesty - n. 大赦、特赦
mollify - v. 緩和、減輕、使安靜
moralistic - adj. 說教的、教訓的
moribund - adj. 即將結束的、垂死的
paramount - adj. 至高無上的、最重要的、主要的
surmount - v. 克服；戰勝
munificent - adj. 寬宏的、慷慨的
immutable - adj. 不變的
nascent - adj. 初生的、萌芽的
enervate - v. 使失去活力、使衰弱
annex - v. 兼併、附加
noxious - adj. 有害的、有毒的
obnoxious - adj. 令人不愉快的；可憎的
annotate - v. 註解
pronounced - adj. 明確的、明顯的
malodorous - adj. 惡臭的
onerous - adj. 繁重的、麻煩的
ornate - adj. 裝飾華麗的、過分修飾的
palpable - adj. 可觸知的、可摸到的、極其明瞭的
imperious - adj. 跋扈的、專橫的
impart - v. 分給、給予、傳授、傳達
compassionate - adj. 有同情心的
impassive - adj. 不露情感的、無動於衷的、冷漠的
pathological - adj. 病理上的、病態的
impecunious - adj. 一文不名的、貧困的
pecuniary - adj. 金錢的、錢財方面的
pedantic - adj. 賣弄學問的；學究的；迂腐的
penitential - adj. 後悔的、懺悔的
impending - adj. 即將發生的、逼近的
pending - adj. 未定的、待定的
petulant - adj. 暴躁的、壞脾氣的
propitious - adj. 有利的
sycophant - n. 拍馬屁者
pious - adj. 虔誠的、盡責的
pompous - adj. 浮華的、愛炫耀的
juxtapose - v. 並排，並置
predisposition - n. 傾向、素質
omnipotent - adj. 全能的、萬能的
pressing - adj. 緊迫的、迫切的
priority - n. 優先權
propaganda - n. 政治宣傳
repulse - v. 擊退、驅逐、使厭惡、使產生反感
quirky - adj. 離奇的、古怪的
reticent - adj. 無言的、沈默的
regime - n. 政權、政治制度
deride - v. 嘲笑；嘲弄
ridicule - v./n. 奚落、嘲笑
derogatory - adj. 貶損的、不敬的
shrug - v. 聳肩
disrupt - v. 使分裂，使瓦解
salubrious - adj. 有益健康的、清爽的
omniscient - adj. 無所不知的，博識的
assent - v./n. 同意、贊成
observant - adj. 注意的、當心的；嚴格遵守（宗教教條）的
assiduous - adj. 勤勉的、專心的
solitary - adj. 單獨的、獨自的
resonant - adj. 洪亮的、共鳴的
despicable - adj. 可鄙的、卑劣的
perspicuous - adj. 明晰的、明瞭的
apostasy - n. 背教、脫黨、變節
ecstatic - adj. 狂喜的、心花怒放的
misconstrue - v. 曲解、誤解
contingent - adj. 依情況而定的 
n. 意外事故、偶然事件
extemporize - v. 即興演說；即興表演
anatomical - adj. 解剖的、解剖學的
tortuous - adj. 迂迴曲折的
detour - n. 繞道、繞行的路
diatribe - n. 抨擊
contumacious - adj. 違抗的、不服從的
mitigate - v. 使緩和、減輕
sanguine - adj. 自信樂觀的
meticulous - adj. 小心翼翼的、一絲不苟的
undermine - v. 削弱
forestall - v. 先發制人、預先阻止
paucity - n. 少數、缺乏
confound - v. 使混亂、使困惑、證明為偽
enigma - n. 難以理解的事物、謎
opaque - adj. 不透明的、難懂的
belie - v. 掩蓋、與...不一致、證明為偽
pragmatic - adj. 務實的
thwart - v. 阻撓、阻礙
superfluous - adj. 多餘的、累贅的
capricious - adj. 變化無常的，任性的
eschew - v. 避開
sporadic - adj. 偶爾發生的、零星的
taciturn - adj. 沈默的
discern - v. (費力地)識別、看出
preclude - v. 避免、排除
cynical - adj. 憤世忌俗的、自私的
perfunctory - adj. 草率的、敷衍的
apathetic - adj. 無感情的
contentious - adj. 有爭議的；好辯的
mundane - adj. 平凡的、乏味的
panacea - n. 萬靈藥
polemical - adj. 爭論的、辯論的；引起爭論的
imperturbable - adj. 沉著的、冷靜的
prevalent - adj. 普遍的、盛行的
variability - n. 變化性
provenance - n. (藝術)出處、起源
vernacular - n. 白話、口語
incontrovertible - adj. 無疑的、明白的
divert - v. 使事物轉向；轉移注意力(至有趣的事)
reversible - adj. 可逆的、可反轉的
revert - v. 恢復、回復到、重新考慮
vestige - n. 痕跡，遺跡，殘餘
deviate - v. 越軌、脫離
impervious - adj. 不受影響的、無動於衷的
vigorous - adj. 精力旺盛的、健壯的
guile - n. 欺詐；狡詐
providential - adj. 眷顧的；幸運的、及時的
vital - adj. 極其重要的、充滿活力的
provocative - adj. 挑釁的、煽動的
univocal - adj. 單義的、意義明確的
devour - v. 狼吞虎嚥地吃、吃光
voracious - adj. 狼吞虎嚥的、貪婪的
ravenous - adj. 狼吞虎嚥的、餓極了
divulge - v. 洩漏、透露、揭露
vulgar - adj. 粗俗的、下流的、粗魯的
alacrity - n. 樂意、敏捷、輕快
anecdote - n. 軼事、趣聞
asseverate - v. 鄭重聲明；斷言
atrophy - n. (器官)萎縮
axiomatic - adj. 公理的、不證自明的
backbite - v. 誹謗、中傷
baroque - adj. 過分雕琢的、高度裝飾的
begrudging - adj. 勉強的、吝惜的
bravado - n. 虛張聲勢
bromidic - adj. 陳腐的
bypass - v. 規避、避開
chic - adj. 高雅時尚的
chimera - n. 希臘神話女怪、幻想、怪物
churlish - adj. 不禮貌的
clear-cut - adj. 明確的、清楚的
commonplace - adj. 司空見慣的事、老生常談
crabby - adj. 脾氣壞的
debilitate - v. 使虛弱、使衰弱
delimit - v. 確定...界線、界定、限定
elegy - n. 輓歌、哀歌
enfeeble - v. 使虛弱、使無力
entail - v. (必然)伴隨著；意味著
fraught - adj. 充滿...的、令人擔憂的、令人憂慮的
histrionic - adj. 矯揉造作的；戲劇的、戲劇化的
hodgepodge - n. 大雜燴
imbue - v. 灌輸、使充滿
knotty - adj. 難解決的、棘手的
meager - adj. 瘦的、粗劣的、不足的
meretricious - adj. 俗氣的、浮華的
modicum - n. 些許
momentous - adj. 重大的、重要的
peevish - adj. 易怒的、乖戾的、壞脾氣的
physiological - adj. 生理的、生理學的
protean - adj. 變化不定的、變化多端的
quandary - adj. 困惑、為難
rapprochement - n. (國家間)友好、和睦
retaliate - v. 報復、回敬
sartorial - adj. 衣服的、男裝的
shading - n. 細微差異 [類] nuance
skittish - adj. 易受驚的、易激動的
slumber - v. 睡、睡眠
staggering - adj. 驚人的
stoicism - n. 斯多葛哲學、禁慾主義
sumptuous - adj. 豪華的、奢華的、奢侈的
valorize - v. 增進價值、給予價值、肯定
woo - v. 求愛、懇求
acerbic - adj. 苦澀的、刻薄的
vehement - adj. 激烈的、發洩的、情緒化的
venal - adj. 貪污的
wane - v. 虧缺、摔落、消失
wanting - adj. 短缺的、不足的
wary - adj. 謹慎的
whimsical - adj. 怪誕的、異想天開的、反覆無常的
wont - adj. 習慣於、慣常於
zealous - adj. 熱情的、狂熱的
zenith - n. 最高點
unkempt - adj. 凌亂的
unscathed - adj. 未受傷的、未受損失的
unwieldly - adj. 難以控制的、複雜的
unwittingly - adv. 不知情地、無意地
upheaval - v. 動亂、劇烈變革
vacant - adj. 空缺的；無表情的
acrimonious - adj. 尖刻的、嚴厲的
acrimony - n. 尖刻，刻薄
acuity - n. 敏銳
acumen - n. 精明
acute - adj. 靈敏的
exactitude - n. 正確性、精確性
exacting - adj. 嚴格的、嚴厲的
agile - adj. 靈敏的、靈活的
prodigal - adj. 非常浪費的、揮霍的
agrarian - adj. 土地的
coalition - n. 同盟、聯合
nostalgia - n. 思鄉病
alienation - n. 疏離、疏遠
inalienable - adj. 不可剝奪的
altruism - n. 利他主義
amity - n. 和睦、親善、(國與國之間)友好關係
enmity - n. 敵意、不合
enamored - adj. 迷戀的
inimical - adj. 有敵意的、不合的
amplify - v. 放大；詳述
ancestry - n. 家系
animosity - n. 憎惡、仇恨
animus - n. 敵意，憎恨
perennial - adj. 終年的、永久的
misanthrope - n. 憤世嫉俗者
philanthropic - adj. 博愛的、仁慈的、慈善的
adaptive - adj. 適應的
adept - adj. 熟練的、內行的
inept - adj. 無能的、不恰當的
aqueous - adj. 水的
patriarchal - adj. 家長的、父權制的
asperity - n. 嚴酷、粗魯
astronomical - adj. 天文學的、龐大的
august - adj. 威嚴的，高貴的，備受尊敬的
auxiliary - adj. 輔助的, 補助的
audacious - adj. 大膽的、無謂的、愚勇的
avid - adj. 熱情的、熱心的
barrage - n. 彈幕；如彈幕般噴發的
barricade - n. 路障、街壘
debase - v. 貶低、貶損
abate - v. 減輕、減少
benefactor - n. 行善者、捐助者
benevolent - adj. 善心的、仁心的
embellish - v. 美化、裝飾
imbibe - v. 飲、喝
吸收，接受（思想，知識等）
blemish - n. 玷污、缺點
boon - n. 好處、利益、恩惠
bounteous - adj. 慷慨的、豐富的
debrief - v. 聽取匯報，向....詢問情況
casualty - n. 傷亡人員、傷亡者
coincide - v. 巧合、一致；同時發生
decadence - n. 衰落，頹廢
callous - adj. 無情的
incendiary - adj. 放火的，縱火的
n. 燃燒彈，縱火犯
incense - n. 香，香味；v. 激怒
accentuate - v. 強調、以重音讀出、加重音符號於
chanty - n. 船歌
recant - v. 改變、放棄(信仰或聲明)
incentive - v. 刺激、鼓勵
recapitulate - v. 扼要重述、概括
capacious - adj. 容量大的、寬敞的
captivate - v. 迷惑、吸引
excavate - v. 挖掘、挖出
concede - v. 承認、讓步
precede - v. 在...之前、早於；開始
unprecedented - adj. 前所未有的
predecessor - n. 前任、前輩、原先的東西
recede - v. 後退、收回；撤退、撤回
successively - adv. 接連地，連續地
celerity - n. 迅速、快速
censorious - adj. 好批評的、好吹毛求疵的
censure - v. 責備、譴責
centrifugal - adj. 離心的
eccentric - adj. 古怪的、反常的
egocentric - adj. 自我中心的
deceive - v. 欺騙
perceptive - adj. 感知的、知覺的、有洞察力的
receptive - adj. 善於接受的、從善如流的
chromatic - adj. 彩色的
monochromatic - adj. 單色的
anachronistic - adj. 時代錯誤的、過時的、時序錯誤的
chronological - adj. 依時間前後排列而記載的
incinerate - v. 焚化、毀棄
reciprocity - n. 相互性，互惠
incipient - adj. 初期的，剛出現的(剛落下)
decipher - v. 解開(謎團)、破譯(密碼)
incite - v. 激勵、激起、煽動
resuscitate - v. 使復活、使甦醒
proclaim - v. 宣告、宣布
reclaim - v. 重新取得
clandestine - adj. 秘密的、暗中的
clannish - adj. 排他的、門戶之見的
disinclination - n. 不願意、不情願
proclivity - n. 傾向
conclusive - adj. 決定性的、確實的、最終的
occlude - v. 使閉塞
seclude - v. 使隔離、使孤立、使隱退、使隱居
